id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
68249,Bomb Busters,2024,2026.0,2,5.0,30,10,864,14,49,889,1123,8,0,8.55,278,0
22860,Destinos,2021,2022.0,1,3.0,150,14,630,153,53,712,532,11,2,8.55,250,0
26212,Paleo,2020,2022.0,1,4.0,60,10,436,90,43,639,485,3,0,8.55,189,0
65898,Black Forest,2024,2025.0,1,4.0,120,14,352,26,19,515,486,8,0,8.55,134,0
50577,Trio,2021,2023.0,2,6.0,15,8,5658,124,324,1003,5418,3,3,8.55,1997,1
21822,Maracaibo,2019,2020.0,1,4.0,120,12,996,355,97,1138,1309,18,0,8.54,646,1
9711,Viticulture - Edição Essencial,2015,2017.0,1,6.0,90,14,3039,580,442,1847,4124,7,0,8.54,1866,1
19212, Chicago 1875: City of the Big Shoulders,2019,2026.0,1,4.0,180,14,160,38,37,393,329,12,0,8.54,130,0
25200,Pandemic Legacy: Season 0,2020,2021.0,1,4.0,60,14,644,62,12,254,391,5,0,8.54,143,0
70711,Águas Rasas,2025,2026.0,1,4.0,45,14,491,5,19,389,709,8,2,8.54,160,0
24726,Praga Caput Regni,2020,2022.0,1,4.0,120,12,438,115,30,411,675,9,0,8.54,248,0
21221,Star Wars: Orla Exterior,2019,2019.0,1,4.0,180,14,1234,230,136,661,1310,7,0,8.53,605,0
35666,Tiletum,2022,2025.0,1,4.0,120,14,391,39,21,404,635,6,1,8.53,191,0
23524,Convidados Indesejados,2016,2023.0,1,8.0,75,12,1569,175,126,1365,1797,4,0,8.53,656,0
8688,Empires: Age of Discovery,2015,2018.0,2,6.0,150,10,149,63,35,456,410,5,1,8.52,176,0
77063,Finspan,2025,2025.0,1,5.0,60,10,866,49,47,622,1210,4,1,8.52,294,0
55669,Decrypto: 5th Anniversary Edition,2023,2023.0,3,8.0,45,12,1459,78,78,629,1154,3,1,8.52,440,0
47450,Cyclades: Legendary,2025,2025.0,2,6.0,120,13,568,32,45,560,593,10,1,8.52,193,0
32897,Scout,2019,2024.0,2,5.0,20,9,4591,131,264,1199,4818,4,2,8.52,1589,1
25928,Imperium: Clássicos,2021,2022.0,1,4.0,120,12,684,139,58,383,641,2,1,8.52,283,0
