id_jogo,ano_publicacao,nota_media,nota_rank,qt_avaliacoes
13284,2018,8.31,6.98,37
68154,2024,8.31,8.09,483
74159,2024,8.31,6.87,30
76515,2025,8.31,7.58,108
78,2012,8.31,7.59,111
9867,2016,8.31,8.2,987
8144,2015,8.31,8.01,334
60440,2024,8.31,7.97,289
1630,1986,8.31,7.24,58
44118,2023,8.3,6.81,27
64350,1992,8.3,7.04,41
2527,2013,8.3,7.09,45
15814,2017,8.3,8.07,440
16785,2019,8.3,8.07,441
22518,2020,8.3,8.14,667
13198,2018,8.3,7.93,259
76203,2025,8.3,7.58,109
107,2008,8.3,8.28,4102
13147,2017,8.3,7.47,89
8915,2016,8.3,8.04,393
13645,2017,8.3,7.68,135
69619,2025,8.3,7.39,77
17646,2018,8.3,7.95,283
21999,2019,8.29,7.58,111
4422,2014,8.29,7.72,150
80051,2026,8.29,8.03,394
2889,2017,8.29,7.81,188
31030,2020,8.29,7.89,235
16172,2018,8.29,7.19,54
612,2011,8.29,8.25,2512
505,2009,8.29,7.85,212
17672,2018,8.29,8.18,978
12390,2018,8.29,8.01,364
156,2011,8.29,8.06,453
24325,2020,8.28,7.95,296
52320,2015,8.28,7.8,186
80062,2025,8.28,7.3,66
24560,2020,8.28,8.03,408
97,2011,8.28,8.18,1028
18215,2018,8.28,7.07,44
456,2013,8.28,7.79,185
81886,2025,8.28,6.95,36
23164,2022,8.28,7.93,272
36349,2022,8.28,6.89,32
26197,2020,8.28,8.14,803
6725,2014,8.28,7.31,68
77131,2025,8.28,6.85,30
72874,2024,8.28,7.23,58
11168,2017,8.28,8.23,1981
174,2011,8.28,7.62,123
2280,2009,8.27,8.1,618
593,2011,8.27,8.23,3138
55,2000,8.27,8.24,4833
21686,2019,8.27,7.94,297
61866,2024,8.27,6.85,30
76,2012,8.27,7.47,93
53852,2025,8.27,7.38,77
32635,2022,8.27,8.09,580
39795,2021,8.27,7.76,173
67129,2024,8.27,7.22,58
30293,2021,8.27,6.76,25
32917,2013,8.27,7.46,90
22650,2020,8.27,8.03,425
30744,2021,8.27,6.83,29
13676,2017,8.27,8.08,558
39924,2023,8.27,7.31,68
35958,2022,8.27,7.7,148
3359,1994,8.26,6.9,33
40761,2022,8.26,6.96,37
64390,2023,8.26,6.88,32
14230,2018,8.26,7.37,77
55898,2023,8.26,7.51,101
22201,2019,8.26,7.14,51
2281,2015,8.26,7.37,77
22192,2019,8.26,7.56,111
20046,2018,8.26,7.28,65
4351,2014,8.26,7.55,110
22498,2019,8.26,7.42,84
16365,2023,8.26,7.5,99
653,2006,8.26,7.5,99
75,2012,8.26,7.46,91
82353,2026,8.26,7.61,124
60,2011,8.26,7.97,335
8147,2015,8.26,8.22,2533
2407,2014,8.26,7.93,289
2226,2011,8.26,7.92,289
19795,2018,8.26,8.08,549
31844,2021,8.26,7.93,291
55089,2023,8.26,7.71,155
7824,2015,8.25,7.54,108
1362,2009,8.25,7.02,41
35952,2023,8.25,7.77,184
1278,1981,8.25,7.25,63
18932,2018,8.25,8.1,737
43,2007,8.25,7.51,103
82348,2025,8.25,7.81,203
36479,2022,8.25,6.71,23
66737,2024,8.25,7.61,126
21661,2022,8.25,7.57,117
19852,2020,8.25,8.08,610
14527,2017,8.25,7.38,79
34889,2016,8.25,8.11,730
5,2011,8.25,8.21,2801
19,2005,8.25,8.06,540
47,2007,8.25,8.19,1684
8354,2017,8.25,7.86,240
654,2009,8.25,7.65,139
35287,2024,8.24,8.0,428
508,1997,8.24,8.12,824
22240,2019,8.24,8.0,420
10711,2016,8.24,7.92,301
36711,2022,8.24,7.59,124
36938,2021,8.24,7.79,201
15006,2017,8.24,7.04,43
7168,2015,8.24,8.19,1997
22322,2019,8.24,8.0,410
9935,2016,8.24,8.1,710
22065,2019,8.24,7.21,59
19826,2018,8.24,7.61,126
11044,2015,8.24,6.92,35
710,1993,8.24,8.16,1375
6422,2014,8.23,7.22,61
15659,2018,8.23,8.11,818
4683,2002,8.23,8.1,783
1661,2013,8.23,7.16,54
15074,2017,8.23,7.23,61
19876,2018,8.23,8.13,1002
606,2008,8.23,8.21,4391
17515,2017,8.23,7.6,128
6876,2014,8.23,8.18,1977
25409,2021,8.23,7.86,252
13897,2017,8.23,7.79,207
33640,2022,8.23,7.74,180
73,2008,8.23,8.13,1020
55257,2024,8.23,6.7,23
1073,2008,8.23,7.68,152
14690,2017,8.23,7.99,423
79734,2025,8.23,7.05,45
651,2009,8.22,7.98,406
9902,2016,8.22,8.03,543
3501,2014,8.22,7.03,43
66412,2025,8.22,7.13,52
6776,2014,8.22,7.08,47
64269,2025,8.22,7.0,41
33913,2021,8.22,7.56,118
34973,2022,8.22,6.76,26
1901,2011,8.22,7.76,191
60594,2024,8.22,6.82,29
22306,2019,8.22,7.58,122
12723,2025,8.22,6.74,25
1968,2013,8.22,7.51,106
397,1995,8.22,8.2,5407
24141,2021,8.21,7.81,229
13028,2017,8.21,8.05,652
5230,1999,8.21,8.08,798
26398,2022,8.21,7.84,246
32463,2021,8.21,7.82,236
510,2009,8.21,7.67,153
62101,2024,8.21,6.88,33
41198,2021,8.21,7.41,88
304,2012,8.21,8.09,833
