tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Condição em relação à força de trabalho e condição de ocupação,Grupo de idade,valor_original,valor
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,20 a 24 anos,438583,438583.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,20 a 24 anos,57881,57881.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,20 a 24 anos,94691,94691.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,20 a 24 anos,38595,38595.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,20 a 24 anos,39825,39825.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,20 a 24 anos,41329,41329.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,20 a 24 anos,839178,839178.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,20 a 24 anos,47297,47297.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,20 a 24 anos,29057,29057.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Brasil,1,Brasil,2022,Total,Total,25 anos ou mais,133108020,133108020.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,25 anos ou mais,215551,215551.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,25 anos ou mais,615667,615667.0
