nm_jogo,nota_rank,nota_media,qt_avaliacoes,link,slug
Hansa Teutonica: Big Box,8.5,8.73,528,https://ludopedia.com.br/jogo/hansa-teutonica-big-box,hansa-teutonica-big-box
Food Chain Magnate,8.5,8.71,591,https://ludopedia.com.br/jogo/food-chain-magnate,food-chain-magnate
Teotihuacan: City of Gods,8.5,8.63,915,https://ludopedia.com.br/jogo/teotihuacan-city-of-gods,teotihuacan-city-of-gods
Orléans,8.49,8.6,1204,https://ludopedia.com.br/jogo/orleans,orleans
Trio,8.49,8.55,1997,https://ludopedia.com.br/jogo/trio,trio
Splendor Duel,8.49,8.67,687,https://ludopedia.com.br/jogo/splendor-duel,splendor-duel
Ultimate Railroads,8.48,8.95,269,https://ludopedia.com.br/jogo/ultimate-railroads,ultimate-railroads
Tikal,8.48,8.59,1178,https://ludopedia.com.br/jogo/tikal,tikal
Darwin's Journey,8.48,8.81,386,https://ludopedia.com.br/jogo/darwin-s-journey,darwin-s-journey
Cascadia,8.48,8.59,1140,https://ludopedia.com.br/jogo/cascadia,cascadia
Tzolk'in: O Calendário Maia,8.48,8.58,1257,https://ludopedia.com.br/jogo/tzolk-in-the-mayan-calendar,tzolk-in-the-mayan-calendar
Power Grid,8.48,8.54,1987,https://ludopedia.com.br/jogo/power-grid,power-grid
Viticulture - Edição Essencial,8.47,8.54,1866,https://ludopedia.com.br/jogo/viticulture-essential-edition,viticulture-essential-edition
Mombasa,8.47,8.62,794,https://ludopedia.com.br/jogo/mombasa,mombasa
Grand Austria Hotel,8.46,8.6,923,https://ludopedia.com.br/jogo/grand-austria-hotel,grand-austria-hotel
La Granja,8.46,8.57,1145,https://ludopedia.com.br/jogo/la-granja,la-granja
Power Grid: Versão Energizada,8.46,8.68,545,https://ludopedia.com.br/jogo/power-grid-recharged-edition,power-grid-recharged-edition
Agricola,8.46,8.54,1478,https://ludopedia.com.br/jogo/agricola,agricola
Azul: Pavilhão de Verão,8.45,8.59,889,https://ludopedia.com.br/jogo/azul-summer-pavilion,azul-summer-pavilion
Brazil: Imperial,8.44,8.56,1068,https://ludopedia.com.br/jogo/brazil-imperial,brazil-imperial
O Inconsciente,8.44,8.86,290,https://ludopedia.com.br/jogo/unconscious-mind,unconscious-mind
Scout,8.44,8.52,1589,https://ludopedia.com.br/jogo/scout,scout
7 Wonders,8.43,8.46,4076,https://ludopedia.com.br/jogo/7-wonders,7-wonders
Dominant Species,8.42,8.67,502,https://ludopedia.com.br/jogo/dominant-species,dominant-species
Marco Polo II: Ao Serviço do Khan,8.42,8.71,414,https://ludopedia.com.br/jogo/marco-polo-ii-in-the-service-of-the-khan,marco-polo-ii-in-the-service-of-the-khan
Eldritch Horror,8.41,8.45,3129,https://ludopedia.com.br/jogo/eldritch-horror,eldritch-horror
Ticket to Ride,8.41,8.44,3641,https://ludopedia.com.br/jogo/ticket-to-ride,ticket-to-ride
The Gallerist,8.41,8.56,810,https://ludopedia.com.br/jogo/the-gallerist,the-gallerist
Azul: Mestre Chocolatier,8.4,8.69,426,https://ludopedia.com.br/jogo/azul-master-chocolatier,azul-master-chocolatier
Tiny Epic Dungeons,8.4,8.61,579,https://ludopedia.com.br/jogo/tiny-epic-dungeons,tiny-epic-dungeons
Russian Railroads,8.4,8.57,695,https://ludopedia.com.br/jogo/russian-railroads,russian-railroads
The Red Cathedral,8.4,8.56,763,https://ludopedia.com.br/jogo/the-red-cathedral,the-red-cathedral
Alquimistas,8.39,8.49,1267,https://ludopedia.com.br/jogo/alchemists,alchemists
