tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,"Geral, grupo, subgrupo, item e subitem",valor_original,valor
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202412,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202501,Índice geral,0.56,0.56
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202502,Índice geral,1.38,1.38
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202503,Índice geral,0.27,0.27
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202504,Índice geral,0.04,0.04
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202505,Índice geral,0.82,0.82
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202506,Índice geral,0.12,0.12
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202507,Índice geral,0.01,0.01
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202508,Índice geral,0.11,0.11
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202509,Índice geral,0.41,0.41
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202510,Índice geral,0.06,0.06
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202511,Índice geral,0.28,0.28
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202512,Índice geral,0.55,0.55
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202601,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202602,Índice geral,0.59,0.59
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202603,Índice geral,0.85,0.85
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202604,Índice geral,0.16,0.16
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202605,Índice geral,0.63,0.63
